variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
W,mean W>0,0.026000000536441803,95,124,66,16.0,022
W,mean W<0,-0.023000000044703484,40,36,32,3.0,022
Reflectivity,P90,-30.0,0,0,0,0.0,022
Reflectivity,mean r>0,21.246000289916992,85,90,76,5.0,022
Reflectivity,max r>0,59.064998626708984,30,74,76,5.0,022
Precipitation,P90,0.0,0,0,0,,022
Precipitation,mean r>0,0.4729999899864197,100,86,74,,022
Precipitation,max r>0,39.41699981689453,90,74,76,,022
W,P90,0.035,90,26,36,11.0,023
W,P10,-0.034,5,88,76,4.0,023
W,mean W>0,0.027000000700354576,35,126,72,12.0,023
W,mean W<0,-0.02500000037252903,100,144,96,2.0,023
Reflectivity,P90,-30.0,0,0,0,0.0,023
Reflectivity,mean r>0,21.511999130249023,50,70,76,10.0,023
Reflectivity,max r>0,59.01599884033203,35,74,76,5.0,023
Precipitation,P90,0.0,0,0,0,,023
Precipitation,mean r>0,0.5770000219345093,65,82,76,,023
Precipitation,max r>0,54.65299987792969,190,74,76,,023
W,P90,0.061,70,90,152,4.0,024
W,P10,-0.06,120,106,98,6.0,024
W,mean W>0,0.050999999046325684,220,56,70,19.0,024
W,mean W<0,-0.04500000178813934,50,36,88,12.0,024
Reflectivity,P90,-30.0,0,0,0,0.0,024
Reflectivity,mean r>0,23.086000442504883,120,72,82,6.0,024
Reflectivity,max r>0,60.926998138427734,30,76,76,5.0,024
Precipitation,P90,0.0,0,0,0,,024
Precipitation,mean r>0,0.7760000228881836,200,66,68,,024
Precipitation,max r>0,57.422000885009766,240,74,76,,024
W,P90,0.03,135,74,44,17.0,025
W,P10,-0.029,140,40,64,13.0,025
W,mean W>0,0.023000000044703484,95,20,20,2.0,025
W,mean W<0,-0.020999999716877937,135,76,128,17.0,025
Reflectivity,P90,-30.0,0,0,0,0.0,025
Reflectivity,mean r>0,21.3700008392334,50,82,80,10.0,025
Reflectivity,max r>0,57.999000549316406,30,76,76,5.0,025
Precipitation,P90,0.0,0,0,0,,025
Precipitation,mean r>0,0.4490000009536743,85,82,78,,025
Precipitation,max r>0,49.625999450683594,160,74,76,,025
W,P90,0.04,70,148,148,7.0,026
W,P10,-0.04,130,62,16,13.0,026
W,mean W>0,0.03200000151991844,70,36,98,4.0,026
W,mean W<0,-0.028999999165534973,155,118,10,11.0,026
Reflectivity,P90,-30.0,0,0,0,0.0,026
Reflectivity,mean r>0,21.54800033569336,65,76,82,4.0,026
Reflectivity,max r>0,59.928001403808594,30,76,76,5.0,026
Precipitation,P90,0.0,0,0,0,,026
Precipitation,mean r>0,0.6679999828338623,25,76,78,,026
Precipitation,max r>0,62.569000244140625,190,74,76,,026
W,P90,0.021,65,44,104,12.0,027
W,P10,-0.021,135,28,150,5.0,027
W,mean W>0,0.01600000075995922,145,8,120,17.0,027
