Experiment,Total Sum,Max Value,Ratio,Mean,Cluster
341,269651.7,60.403564,0.00022400588,44.09676,3
342,10529.158,59.357185,0.0056374106,20.72669,1
343,12298.361,59.396217,0.004829604,20.739227,1
344,5804.4897,58.41802,0.0100642815,24.185373,1
345,9664.677,58.786995,0.006082665,21.334827,1
346,12207.512,59.548607,0.0048780297,20.413898,1
347,6015.254,60.05757,0.009984212,25.380817,1
348,279823.6,59.657787,0.00021319784,44.836338,3
349,289658.44,59.55801,0.00020561462,46.41218,3
350,295691.56,59.491558,0.00020119465,47.378876,3
351,287347.38,60.0644,0.00020903062,46.04188,3
352,1132.1746,54.698227,0.048312537,24.08882,1
353,1411.8451,54.466457,0.038578212,25.66991,1
354,16567.098,57.441185,0.0034671845,21.885202,1
355,19942.031,57.31968,0.002874315,23.188408,1
356,33744.5,59.086033,0.0017509826,24.294096,1
357,16972.117,57.823124,0.0034069482,22.479626,1
358,302899.7,61.56932,0.00020326638,48.53384,3
359,290090.62,60.378963,0.00020813828,46.481434,3
360,1217.0913,53.440166,0.0439081,24.341825,1
361,1197.5038,53.399002,0.044591926,24.947996,1
362,988.157,49.361748,0.049953345,19.00302,1
363,1168.717,53.187195,0.045509044,24.348272,1
364,3113.7468,57.157005,0.018356344,26.387686,1
365,5206.2603,55.09206,0.010581887,22.440777,1
366,301110.7,61.24332,0.00020339139,48.247185,3
367,291377.8,60.591377,0.00020794781,46.68768,3
368,297394.8,60.322998,0.0002028381,47.651787,3
369,293116.3,60.39349,0.00020603933,46.96624,3
370,284730.66,60.3951,0.0002121131,45.6226,3
371,305324.9,60.16074,0.00019703843,48.922432,3
372,141712.75,59.839382,0.00042225828,33.250294,0
373,142451.9,59.605793,0.0004184275,33.93328,0
374,139736.38,59.459904,0.00042551485,33.78539,0
375,137161.62,59.731297,0.0004354811,33.035072,0
376,247127.5,59.308216,0.00023999036,41.010204,2
377,241828.38,59.361393,0.0002454691,40.93929,2
378,192371.64,59.922108,0.00031149137,37.223614,2
379,209772.44,59.380657,0.00028307177,37.73564,2
380,204500.0,60.753345,0.00029708238,38.468773,2
381,196850.02,59.940735,0.00030449952,37.717957,2
382,108785.766,59.81274,0.00054982136,33.7844,0
383,179112.97,60.684753,0.00033880715,36.294422,2
384,5825.3984,58.666122,0.010070749,24.57974,1
385,6316.393,58.82587,0.009313206,24.577404,1
386,10066.775,58.355503,0.005796842,24.67347,1
387,5603.036,58.539455,0.0104478095,25.238901,1
388,149861.42,59.43944,0.00039662936,34.714252,0
389,155823.1,60.063694,0.0003854608,35.912212,0
390,301708.56,61.72919,0.00020459873,48.342983,3
391,292908.5,60.353558,0.00020604918,46.932945,3
392,299528.66,60.54289,0.0002021272,47.993694,3
393,302304.25,60.467278,0.00020002126,48.43843,3
394,172910.34,59.24772,0.00034264993,37.65469,0
395,214196.53,59.508095,0.00027782007,37.717297,2
396,3531.1704,59.77002,0.016926404,26.352018,1
397,3535.198,59.873943,0.016936518,26.580437,1
398,4069.3896,59.024395,0.014504484,24.222557,1
399,3604.104,59.624863,0.016543603,27.303818,1
400,303604.12,59.53993,0.00019611041,48.64671,3
401,305454.88,60.136772,0.00019687612,48.94326,3
402,291044.38,60.94788,0.00020941095,46.634254,3
403,309605.0,60.80413,0.0001963926,49.608234,3
404,306906.88,61.114365,0.00019913,49.175915,3
405,299399.22,62.01864,0.00020714362,47.972958,3
406,25164.586,58.17499,0.0023117801,26.131449,1
407,18849.852,57.343304,0.003042109,25.963984,1
408,309084.8,59.42001,0.000192245,49.524887,3
409,305263.7,59.778847,0.00019582691,48.912624,3
410,308246.1,60.433636,0.00019605646,49.3905,3
411,301060.25,59.66293,0.00019817604,48.239105,3
412,307357.7,60.41482,0.00019656193,49.248146,3
413,297532.75,61.165676,0.00020557627,47.67389,3
414,756.7467,46.31177,0.06119851,22.257256,1
415,716.30994,46.25063,0.0645679,21.706362,1
416,1713.6721,49.26534,0.028748404,19.92642,1
417,642.1424,46.188274,0.0719284,20.06695,1
418,4324.717,52.838604,0.012217818,19.220964,1
419,3031.7778,53.9339,0.01778953,22.625208,1
420,222757.81,59.490837,0.0002670651,38.35362,2
421,224534.38,59.539906,0.00026517056,38.45425,2
422,233582.47,59.67805,0.00025549027,40.00385,2
423,237496.45,59.28126,0.00024960903,39.55637,2
424,11195.298,60.13502,0.0053714532,27.506874,1
425,5701.4883,60.03953,0.010530502,27.02127,1
426,146918.69,59.82503,0.00040719824,34.757202,0
427,144287.62,60.05854,0.0004162418,34.97034,0
428,231702.5,60.724964,0.00026208162,39.30492,2
429,138970.86,59.661236,0.00042930752,34.05314,0
430,260107.5,59.712826,0.00022956979,42.570786,2
431,265907.2,60.52055,0.00022760028,44.251488,3
432,2184.5498,55.918194,0.025597125,26.319878,1
433,2040.6365,56.44123,0.027658641,27.208487,1
434,2687.4138,50.64216,0.018844198,20.672415,1
435,2105.126,55.892677,0.026550751,26.988794,1
436,306570.47,59.14656,0.00019292974,49.12201,3
437,292329.06,60.346687,0.0002064341,46.8401,3
438,304157.12,59.833233,0.00019671817,48.735317,3
439,305892.38,60.156662,0.00019665957,49.01336,3
440,311685.8,60.16306,0.0001930247,49.941647,3
441,291356.5,59.984703,0.00020588077,46.684265,3
442,3449.5657,52.250618,0.015147014,18.953657,1
443,1719.3668,53.93894,0.031371396,24.216434,1
444,120932.945,59.742886,0.0004940166,33.032764,0
445,115150.53,59.683773,0.0005183109,32.84385,0
446,128960.6,60.433907,0.000468623,32.99069,0
447,123263.67,60.660496,0.0004921198,34.29707,0
448,7211.666,58.982594,0.008178775,23.722586,1
449,8425.909,59.245842,0.0070313886,23.536058,1
450,217982.28,59.643627,0.00027361687,39.51818,2
451,221380.6,59.923286,0.00027067994,39.866844,2
452,217552.56,60.1691,0.0002765727,38.491253,2
453,226489.62,59.99116,0.0002648738,40.444576,2
454,280220.62,60.728065,0.00021671518,45.497746,3
455,266778.6,60.353714,0.00022623147,43.741367,3
456,262355.38,59.396103,0.0002263956,43.164753,3
457,258132.3,59.84784,0.00023184948,42.089073,2
458,282373.0,61.225876,0.00021682624,45.41219,3
459,259372.9,59.56087,0.00022963413,42.899918,2
460,122749.625,59.688805,0.00048626465,34.37402,0
461,180826.58,60.78092,0.00033612823,36.427593,2
462,64312.105,59.873714,0.0009309867,31.053648,1
463,66104.99,59.35206,0.0008978453,32.484024,1
464,5811.354,60.355995,0.010385875,28.210457,1
465,65295.918,59.391003,0.0009095669,31.362112,1
466,233627.67,60.95174,0.00026089264,40.64504,2
467,247462.64,59.218822,0.00023930409,42.042583,2
468,309774.38,60.702106,0.00019595587,49.635376,3
469,300521.06,59.934597,0.0001994356,48.15271,3
470,303200.78,59.794598,0.00019721122,48.582085,3
471,307049.53,60.341938,0.00019652184,49.198772,3
472,304570.66,61.49015,0.00020189125,48.80158,3
473,300000.2,60.19352,0.00020064494,48.06925,3
474,5413.085,53.82289,0.009943108,20.819557,1
475,9262.045,56.186176,0.006066282,21.146221,1
476,5220.892,55.661472,0.010661296,22.999525,1
477,6328.0293,53.06231,0.008385282,20.088982,1
478,3975.1826,52.668465,0.01324932,21.032713,1
479,6508.991,55.760853,0.008566743,20.862152,1
480,187989.77,59.62796,0.00031718728,36.49578,2
